,"SEMINAR HALL, POWER 2ND FLOOR ",70-75,Math-E-Magician PRELIMS,,,,ACE THE CASE FINALE,,,10TH APRIL,TRUE,TRUE,
,,,THUNDERVOLTS VOLTEDGED PRELIMS ,,,,THUNDERVOLTS VOLTEDGED FINALE,,,11TH APRIL,,,
,,,,BIZNEZ PLAN FINALE,,,,,,12TH APRIL,,,
,,,,,,,,,,,,,
,"2ND YEAR CLASSROOM, POWER 2ND FLOOR ",50-60,Math-E-Magician PRELIMS,,,,,,,10TH APRIL,TRUE,FALSE,
,,,,,,,,,,11TH APRIL,,,
,,,,,CAPITAL CLASH FINALS		,,,,,12TH APRIL,,,
,,,,,,,,,,,,,
,"3RD YEAR CLASSROOM, POWER 4TH FLOOR ",50-60,Industrix PRELIMS,,,,,,,10TH APRIL,TRUE,FALSE,
,,,,STRATEDGEX FINALE,,,,,,11TH APRIL,,,
,,,,,,,Industrix FINALE ,,,12TH APRIL,,,
,,,,,,,,,,,,,
,"4TH YEAR CLASSROOM, POWER 4TH FLOOR ",50-60,Industrix PRELIMS,,,,,,,10TH APRIL,TRUE,FALSE,
,,,,STRATEDGEX FINALE,,,,,,11TH APRIL,,,
,,,,,,,Industrix FINALE ,,,12TH APRIL,,,
,,,,,,,,,,,,,
,POWER PARKING LOT,,DEATH RACE PRELIMS,,,,,,,10TH APRIL,FALSE,FALSE,
,,,DEATH RACE PRELIMS,,,,,,,11TH APRIL,,,
,,,DEATH RACE FINALE,,,,,,,12TH APRIL,,,
,,,,,,,,,,,,,
,"1ST YEAR CLASSROOM, PRINTING 2ND FLOOR ",50,Pack-o-vation FINALS,,,,,,,10TH APRIL,TRUE,FALSE,
,,,,,,,,,,11TH APRIL,,,
,,,,,,,,,,12TH APRIL,,,
,,,,,,,,,,,,,
,"2ND YEAR CLASSROOM, PRINTING 2ND FLOOR ",35-40,Pack-o-vation FINALS,,,,,,,10TH APRIL,TRUE,FALSE,
,,,,,,,,,,11TH APRIL,,,
,,,,,,,,,,12TH APRIL,,,
,,,,,,,,,,,,,
,"3rd year classroom, IEE 4th floor ",90-120,IOT BIDWARS FINALS,,,,,,,10TH APRIL,TRUE,FALSE,
,,,,,,,,,,,,,
," Multimedia lab,SMCC 2ND FLOOR",40,EMERGENCY STANDBY ROOM,,,,,,,10TH APRIL,FALSE,TRUE,
,,,,,,,,,,11TH APRIL,,,
,,,,,,,,,,12TH APRIL,,,
,,,,,,,,,,,,,
